"name","n","m","heuristic","non-permutation insertions [%]","makespan","time.µs."
"vrfl005",100,20,"Pc",100,6458,538802
"vrfl005",100,20,"LJP",0,6578,2396
"vrfl006",100,20,"NEH",0,6700,973
"vrfl006",100,20,"NEH",10,6696,1674
"vrfl006",100,20,"NEH",20,6706,1916
"vrfl006",100,20,"NEH",30,6646,2396
"vrfl006",100,20,"NEH",40,6649,3028
"vrfl006",100,20,"NEH",50,6592,3518
"vrfl006",100,20,"NEH",60,6650,3587
"vrfl006",100,20,"NEH",70,6657,4154
"vrfl006",100,20,"NEH",80,6624,4562
"vrfl006",100,20,"NEH",90,6605,5191
"vrfl006",100,20,"NEH",100,6642,5063
"vrfl006",100,20,"BRN",0,6700,1046
"vrfl006",100,20,"BRN",10,6596,4943
"vrfl006",100,20,"BRN",20,6580,6314
"vrfl006",100,20,"BRN",30,6549,9933
"vrfl006",100,20,"BRN",40,6637,8598
"vrfl006",100,20,"BRN",50,6624,10702
"vrfl006",100,20,"BRN",60,6622,11982
"vrfl006",100,20,"BRN",70,6582,12679
"vrfl006",100,20,"BRN",80,6629,13313
"vrfl006",100,20,"BRN",90,6537,13643
"vrfl006",100,20,"BRN",100,6582,15983
"vrfl006",100,20,"FF",0,6647,1088
"vrfl006",100,20,"FF",10,6669,1525
"vrfl006",100,20,"FF",20,6655,2167
"vrfl006",100,20,"FF",30,6634,2361
"vrfl006",100,20,"FF",40,6656,2837
"vrfl006",100,20,"FF",50,6616,3269
"vrfl006",100,20,"FF",60,6629,3681
"vrfl006",100,20,"FF",70,6647,3946
"vrfl006",100,20,"FF",80,6671,4340
"vrfl006",100,20,"FF",90,6684,4944
"vrfl006",100,20,"FF",100,6669,4986
"vrfl006",100,20,"F5",0,6437,167352
"vrfl006",100,20,"F5",10,6426,284559
"vrfl006",100,20,"F5",20,6443,393097
"vrfl006",100,20,"F5",30,6428,434533
"vrfl006",100,20,"F5",40,6420,629819
"vrfl006",100,20,"F5",50,6443,616655
"vrfl006",100,20,"F5",60,6460,647501
"vrfl006",100,20,"F5",70,6525,625378
"vrfl006",100,20,"F5",80,6463,623443
"vrfl006",100,20,"F5",90,6420,679012
"vrfl006",100,20,"F5",100,6440,657227
"vrfl006",100,20,"RN",0,6482,178146
"vrfl006",100,20,"RN",10,6439,278469
"vrfl006",100,20,"RN",20,6399,405041
"vrfl006",100,20,"RN",30,6393,530925
"vrfl006",100,20,"RN",40,6455,565216
"vrfl006",100,20,"RN",50,6463,677912
"vrfl006",100,20,"RN",60,6426,703320
"vrfl006",100,20,"RN",70,6407,769525
"vrfl006",100,20,"RN",80,6455,730341
"vrfl006",100,20,"RN",90,6433,766128
"vrfl006",100,20,"RN",100,6426,728064
"vrfl006",100,20,"Pa",0,6473,398107
"vrfl006",100,20,"Pa",10,6405,908806
"vrfl006",100,20,"Pa",20,6394,1098410
"vrfl006",100,20,"Pa",30,6413,1269473
"vrfl006",100,20,"Pa",40,6415,1491875
"vrfl006",100,20,"Pa",50,6426,1752760
"vrfl006",100,20,"Pa",60,6425,2064438
"vrfl006",100,20,"Pa",70,6449,2002239
"vrfl006",100,20,"Pa",80,6418,2086417
"vrfl006",100,20,"Pa",90,6391,1874622
"vrfl006",100,20,"Pa",100,6420,2068620
"vrfl006",100,20,"Pc",0,6442,129874
"vrfl006",100,20,"Pc",10,6450,234381
"vrfl006",100,20,"Pc",20,6476,376352
"vrfl006",100,20,"Pc",30,6436,426937
"vrfl006",100,20,"Pc",40,6464,442234
"vrfl006",100,20,"Pc",50,6449,516208
"vrfl006",100,20,"Pc",60,6423,599250
"vrfl006",100,20,"Pc",70,6460,680201
"vrfl006",100,20,"Pc",80,6470,653279
"vrfl006",100,20,"Pc",90,6475,763724
"vrfl006",100,20,"Pc",100,6432,587581
"vrfl006",100,20,"LJP",0,6632,2072
"vrfl007",100,20,"NEH",0,6838,1075
"vrfl007",100,20,"NEH",10,6863,1494
"vrfl007",100,20,"NEH",20,6854,2196
"vrfl007",100,20,"NEH",30,6830,2238
"vrfl007",100,20,"NEH",40,6843,3105
"vrfl007",100,20,"NEH",50,6815,3401
"vrfl007",100,20,"NEH",60,6813,3718
"vrfl007",100,20,"NEH",70,6832,4283
"vrfl007",100,20,"NEH",80,6846,4635
"vrfl007",100,20,"NEH",90,6933,5312
"vrfl007",100,20,"NEH",100,6775,5404
"vrfl007",100,20,"BRN",0,6838,1150
"vrfl007",100,20,"BRN",10,6794,4087
"vrfl007",100,20,"BRN",20,6785,6025
"vrfl007",100,20,"BRN",30,6740,8337
"vrfl007",100,20,"BRN",40,6761,10980
"vrfl007",100,20,"BRN",50,6717,12166
"vrfl007",100,20,"BRN",60,6775,13976
"vrfl007",100,20,"BRN",70,6782,15294
"vrfl007",100,20,"BRN",80,6757,14398
"vrfl007",100,20,"BRN",90,6669,13552
"vrfl007",100,20,"BRN",100,6661,15107
"vrfl007",100,20,"FF",0,6822,1127
"vrfl007",100,20,"FF",10,6822,1540
"vrfl007",100,20,"FF",20,6740,1912
"vrfl007",100,20,"FF",30,6771,2568
"vrfl007",100,20,"FF",40,6768,2636
"vrfl007",100,20,"FF",50,6823,3122
"vrfl007",100,20,"FF",60,6864,3513
"vrfl007",100,20,"FF",70,6798,3976
"vrfl007",100,20,"FF",80,6805,4019
"vrfl007",100,20,"FF",90,6791,4563
"vrfl007",100,20,"FF",100,6784,4948
"vrfl007",100,20,"F5",0,6592,163673
"vrfl007",100,20,"F5",10,6598,270825
"vrfl007",100,20,"F5",20,6580,392913
"vrfl007",100,20,"F5",30,6579,528807
"vrfl007",100,20,"F5",40,6565,609091
"vrfl007",100,20,"F5",50,6585,560026
"vrfl007",100,20,"F5",60,6571,647776
"vrfl007",100,20,"F5",70,6560,680125
"vrfl007",100,20,"F5",80,6540,762727
"vrfl007",100,20,"F5",90,6569,675505
"vrfl007",100,20,"F5",100,6569,677838
"vrfl007",100,20,"RN",0,6571,158694
"vrfl007",100,20,"RN",10,6595,275890
"vrfl007",100,20,"RN",20,6597,409202
"vrfl007",100,20,"RN",30,6554,534287
"vrfl007",100,20,"RN",40,6585,587951
"vrfl007",100,20,"RN",50,6583,774743
"vrfl007",100,20,"RN",60,6590,731834
"vrfl007",100,20,"RN",70,6597,773365
"vrfl007",100,20,"RN",80,6559,774726
"vrfl007",100,20,"RN",90,6574,764865
"vrfl007",100,20,"RN",100,6565,769282
"vrfl007",100,20,"Pa",0,6525,412330
"vrfl007",100,20,"Pa",10,6535,786798
"vrfl007",100,20,"Pa",20,6549,1250335
"vrfl007",100,20,"Pa",30,6554,1475970
"vrfl007",100,20,"Pa",40,6559,1723054
"vrfl007",100,20,"Pa",50,6526,1917717
"vrfl007",100,20,"Pa",60,6575,2079313
"vrfl007",100,20,"Pa",70,6561,1918652
"vrfl007",100,20,"Pa",80,6589,2221156
"vrfl007",100,20,"Pa",90,6591,1862181
"vrfl007",100,20,"Pa",100,6591,1859115
"vrfl007",100,20,"Pc",0,6599,130189
"vrfl007",100,20,"Pc",10,6549,266665
"vrfl007",100,20,"Pc",20,6562,368912
"vrfl007",100,20,"Pc",30,6580,436738
"vrfl007",100,20,"Pc",40,6535,562133
"vrfl007",100,20,"Pc",50,6588,590662
"vrfl007",100,20,"Pc",60,6589,522752
"vrfl007",100,20,"Pc",70,6544,613060
"vrfl007",100,20,"Pc",80,6610,674445
"vrfl007",100,20,"Pc",90,6564,681795
"vrfl007",100,20,"Pc",100,6564,682746
"vrfl007",100,20,"LJP",0,6767,2049
"vrfl008",100,20,"NEH",0,6437,1135
"vrfl008",100,20,"NEH",10,6411,1517
"vrfl008",100,20,"NEH",20,6429,2025
"vrfl008",100,20,"NEH",30,6415,2314
